*Step  = 0
*Time  = 0
*Data  = x;y;z
27 -0.901401157796 0.497082044298 0.296661010761
28 -0.7 0.497056738 0.296705273658
29 -0.498598842204 0.497082044298 0.296661010761
30 -0.297094711499 0.497094711499 0.296399281929
31 -1.1029179557 0.698598842204 0.296661010761
32 -0.90140793858 0.69859206142 0.296919096079
33 -0.7 0.698580765926 0.296965514098
34 -0.49859206142 0.69859206142 0.296919096079
35 -0.297082044298 0.698598842204 0.296661010761
36 -1.102943262 0.9 0.296705273658
37 -0.901419234074 0.9 0.296965514098
38 -0.7 0.9 0.29701795802
39 -0.498580765926 0.9 0.296965514098
40 -0.297056738 0.9 0.296705273658
41 -1.1029179557 1.1014011578 0.296661010761
42 -0.90140793858 1.10140793858 0.296919096079
43 -0.7 1.10141923407 0.296965514098
44 -0.49859206142 1.10140793858 0.296919096079
45 -0.297082044298 1.1014011578 0.296661010761
46 -1.1029052885 1.3029052885 0.296399281929
47 -0.901401157796 1.3029179557 0.296661010761
48 -0.7 1.302943262 0.296705273658
49 -0.498598842204 1.3029179557 0.296661010761
50 -0.297094711499 1.3029052885 0.296399281929
51 -1.1035523175 0.496447682501 0.492818300853
52 -0.901771364801 0.496409423511 0.493109432937
53 -0.7 0.496410293666 0.49319287848
54 -0.498228635199 0.496409423511 0.493109432937
55 -0.296447682501 0.496447682501 0.492818300853
56 -1.10359057649 0.698228635199 0.493109432937
57 -0.901787498997 0.698212501003 0.493398177021
58 -0.7 0.698209889329 0.49348280435
59 -0.498212501003 0.698212501003 0.493398177021
60 -0.296409423511 0.698228635199 0.493109432937
61 -1.10358970633 0.9 0.49319287848
62 -0.901790110671 0.9 0.49348280435
63 -0.7 0.9 0.493571526274
64 -0.498209889329 0.9 0.49348280435
65 -0.296410293666 0.9 0.49319287848
66 -1.10359057649 1.1017713648 0.493109432937
67 -0.901787498997 1.101787499 0.493398177021
68 -0.7 1.10179011067 0.49348280435
69 -0.498212501003 1.101787499 0.493398177021
70 -0.296409423511 1.1017713648 0.493109432937
71 -1.1035523175 1.3035523175 0.492818300853
72 -0.901771364801 1.30359057649 0.493109432937
73 -0.7 1.30358970633 0.49319287848
74 -0.498228635199 1.30359057649 0.493109432937
