*Step  = 0
*Time  = 0
*Data  = x;y;z
19 0.200577448435 0.200577448435 0.0992405351903
20 0.401238240152 0.200577067902 0.0991337538144
21 -0.401241211978 0.401241211978 0.0990255304158
22 -0.200577067902 0.401238240152 0.0991337538144
23 -6.93889390391e-18 0.401266467176 0.0991414627918
24 0.200577067902 0.401238240152 0.0991337538144
25 0.401241211978 0.401241211978 0.0990255304158
26 -0.402965059499 -0.402965059499 0.296324672761
27 -0.201430163366 -0.402978225984 0.296591517739
28 -7.8062556419e-18 -0.40300414411 0.296636524298
29 0.201430163366 -0.402978225984 0.296591517739
30 0.402965059499 -0.402965059499 0.296324672761
31 -0.402978225984 -0.201430163366 0.296591517739
32 -0.201437177628 -0.201437177628 0.296854699896
33 -6.07153216592e-18 -0.201448751577 0.296901936283
34 0.201437177628 -0.201437177628 0.296854699896
35 0.402978225984 -0.201430163366 0.296591517739
36 -0.40300414411 -8.67361737988e-18 0.296636524298
37 -0.201448751577 -2.60208521397e-18 0.296901936283
38 -2.08166817117e-17 -1.73472347598e-18 0.296955337496
39 0.201448751577 8.67361737988e-18 0.296901936283
40 0.40300414411 5.20417042793e-18 0.296636524298
41 -0.402978225984 0.201430163366 0.296591517739
42 -0.201437177628 0.201437177628 0.296854699896
43 -9.54097911787e-18 0.201448751577 0.296901936283
44 0.201437177628 0.201437177628 0.296854699896
45 0.402978225984 0.201430163366 0.296591517739
46 -0.402965059499 0.402965059499 0.296324672761
47 -0.201430163366 0.402978225984 0.296591517739
48 1.73472347598e-18 0.40300414411 0.296636524298
49 0.201430163366 0.402978225984 0.296591517739
50 0.402965059499 0.402965059499 0.296324672761
51 -0.403625021858 -0.403625021858 0.49267004268
52 -0.201807815767 -0.403664449283 0.492966205628
53 -8.67361737988e-19 -0.403663731991 0.493050923925
54 0.201807815767 -0.403664449283 0.492966205628
55 0.403625021858 -0.403625021858 0.49267004268
56 -0.403664449283 -0.201807815767 0.492966205628
57 -0.201824420139 -0.201824420139 0.493260113947
58 8.67361737988e-19 -0.201827168006 0.493346118091
59 0.201824420139 -0.201824420139 0.493260113947
60 0.403664449283 -0.201807815767 0.492966205628
61 -0.403663731991 -1.12757025938e-17 0.493050923925
62 -0.201827168006 -1.21430643318e-17 0.493346118091
63 -1.30104260698e-17 -3.46944695195e-18 0.493436329999
64 0.201827168006 1.12757025938e-17 0.493346118091
65 0.403663731991 5.20417042793e-18 0.493050923925
66 -0.403664449283 0.201807815767 0.492966205628
67 -0.201824420139 0.201824420139 0.493260113947
68 3.46944695195e-18 0.201827168006 0.493346118091
69 0.201824420139 0.201824420139 0.493260113947
70 0.403664449283 0.201807815767 0.492966205628
71 -0.403625021858 0.403625021858 0.49267004268
72 -0.201807815767 0.403664449283 0.492966205628
73 1.21430643318e-17 0.403663731991 0.493050923925
74 0.201807815767 0.403664449283 0.492966205628
75 0.403625021858 0.403625021858 0.49267004268
76 -0.40387255197 -0.40387255197 0.688716440832
77 -0.201945378306 -0.403912462642 0.688961672466
78 -7.8062556419e-18 -0.403918812537 0.689052822041
79 0.201945378306 -0.403912462642 0.688961672466
80 0.40387255197 -0.40387255197 0.688716440832
81 -0.403912462642 -0.201945378306 0.688961672466
82 -0.201962709641 -0.201962709641 0.689208278424
83 4.33680868994e-18 -0.20196778676 0.689299556942
84 0.201962709641 -0.201962709641 0.689208278424
85 0.403912462642 -0.201945378306 0.688961672466
86 -0.403918812537 -3.46944695195e-17 0.689052822041
87 -0.20196778676 -3.20923843056e-17 0.689299556942
88 2.60208521397e-18 -1.64798730218e-17 0.68939045503
89 0.20196778676 1.73472347598e-17 0.689299556942
90 0.403918812537 1.12757025938e-17 0.689052822041
91 -0.403912462642 0.201945378306 0.688961672466
92 -0.201962709641 0.201962709641 0.689208278424
93 0 0.20196778676 0.689299556942
94 0.201962709641 0.201962709641 0.689208278424
95 0.403912462642 0.201945378306 0.688961672466
96 -0.40387255197 0.40387255197 0.688716440832
97 -0.201945378306 0.403912462642 0.688961672466
98 -1.82145964978e-17 0.403918812537 0.689052822041
99 0.201945378306 0.403912462642 0.688961672466
100 0.40387255197 0.40387255197 0.688716440832
101 -0.403990067248 -0.403990067248 0.884611124031
102 -0.202008987591 -0.404009443108 0.884804290501
103 -2.25514051877e-17 -0.40401313424 0.884883796196
104 0.202008987591 -0.404009443108 0.884804290501
105 0.403990067248 -0.403990067248 0.884611124031
106 -0.404009443108 -0.202008987591 0.884804290501
107 -0.202017907847 -0.202017907847 0.885000135511
108 -1.47451495458e-17 -0.202020681547 0.885079077498
109 0.202017907847 -0.202017907847 0.885000135511
110 0.404009443108 -0.202008987591 0.884804290501
111 -0.40401313424 -5.20417042793e-17 0.884883796196
112 -0.202020681547 -4.51028103754e-17 0.885079077498
113 -1.99493199737e-17 -4.16333634234e-17 0.885155749299
114 0.202020681547 -3.64291929955e-17 0.885079077498
115 0.40401313424 -2.34187669257e-17 0.884883796196
116 -0.404009443108 0.202008987591 0.884804290501
117 -0.202017907847 0.202017907847 0.885000135511
118 -4.25007251614e-17 0.202020681547 0.885079077498
119 0.202017907847 0.202017907847 0.885000135511
120 0.404009443108 0.202008987591 0.884804290501
121 -0.403990067248 0.403990067248 0.884611124031
122 -0.202008987591 0.404009443108 0.884804290501
123 -7.3725747729e-17 0.40401313424 0.884883796196
124 0.202008987591 0.404009443108 0.884804290501
125 0.403990067248 0.403990067248 0.884611124031
*Step  = 3
*Time  = 0.3
*Data  = x;y;z
1 -0.401902580031 -0.401902580031 0.0984935461788
2 -0.200886175136 -0.401896514228 0.0986640267143
3 -8.67361737988e-19 -0.401938331942 0.0986766972273
4 0.200886175136 -0.401896514228 0.0986640267143
5 0.401902580031 -0.401902580031 0.0984935461788
6 -0.401896514228 -0.200886175136 0.0986640267143
7 -0.200886012474 -0.200886012474 0.0988321645621
8 -4.33680868994e-18 -0.200902287159 0.0988466227851
9 0.200886012474 -0.200886012474 0.0988321645621
10 0.401896514228 -0.200886175136 0.0986640267143
11 -0.401938331942 3.46944695195e-18 0.0986766972273
12 -0.200902287159 2.60208521397e-18 0.0988466227851
13 -3.46944695195e-18 -2.60208521397e-18 0.0988648833836
14 0.200902287159 -5.20417042793e-18 0.0988466227851
15 0.401938331942 -6.07153216592e-18 0.0986766972273
16 -0.401896514228 0.200886175136 0.0986640267143
17 -0.200886012474 0.200886012474 0.0988321645621
18 1.73472347598e-18 0.200902287159 0.0988466227851
19 0.200886012474 0.200886012474 0.0988321645621
20 0.401896514228 0.200886175136 0.0986640267143
21 -0.401902580031 0.401902580031 0.0984935461788
22 -0.200886175136 0.401896514228 0.0986640267143
23 3.46944695195e-18 0.401938331942 0.0986766972273
24 0.200886175136 0.401896514228 0.0986640267143
25 0.401902580031 0.401902580031 0.0984935461788
26 -0.404541539343 -0.404541539343 0.294328604191
27 -0.202192977165 -0.404560046698 0.294746087071
28 1.04083408559e-17 -0.40459776554 0.294816957782
29 0.202192977165 -0.404560046698 0.294746087071
30 0.404541539343 -0.404541539343 0.294328604191
31 -0.404560046698 -0.202192977165 0.294746087071
32 -0.202202899172 -0.202202899172 0.295157924053
33 -8.67361737988e-19 -0.202219704451 0.295232365719
34 0.202202899172 -0.202202899172 0.295157924053
35 0.404560046698 -0.202192977165 0.294746087071
36 -0.40459776554 1.90819582357e-17 0.294816957782
37 -0.202219704451 6.07153216592e-18 0.295232365719
38 8.67361737988e-19 -1.73472347598e-18 0.295316330153
39 0.202219704451 -1.73472347598e-18 0.295232365719
40 0.40459776554 5.20417042793e-18 0.294816957782
41 -0.404560046698 0.202192977165 0.294746087071
42 -0.202202899172 0.202202899172 0.295157924053
43 5.20417042793e-18 0.202219704451 0.295232365719
44 0.202202899172 0.202202899172 0.295157924053
45 0.404560046698 0.202192977165 0.294746087071
46 -0.404541539343 0.404541539343 0.294328604191
47 -0.202192977165 0.404560046698 0.294746087071
48 0 0.40459776554 0.294816957782
49 0.202192977165 0.404560046698 0.294746087071
50 0.404541539343 0.404541539343 0.294328604191
51 -0.405548051573 -0.405548051573 0.488698502639
52 -0.202768046431 -0.405608472754 0.489158556825
53 1.73472347598e-18 -0.405606812328 0.489290159296
54 0.202768046431 -0.405608472754 0.489158556825
55 0.405548051573 -0.405548051573 0.488698502639
56 -0.405608472754 -0.202768046431 0.489158556825
57 -0.202793483072 -0.202793483072 0.48961545513
58 -1.73472347598e-18 -0.202797387058 0.489749083852
59 0.202793483072 -0.202793483072 0.48961545513
60 0.405608472754 -0.202768046431 0.489158556825
61 -0.405606812328 1.47451495458e-17 0.489290159296
62 -0.202797387058 2.08166817117e-17 0.489749083852
63 3.46944695195e-18 2.08166817117e-17 0.489889136479
64 0.202797387058 1.38777878078e-17 0.489749083852
65 0.405606812328 3.03576608296e-17 0.489290159296
66 -0.405608472754 0.202768046431 0.489158556825
67 -0.202793483072 0.202793483072 0.48961545513
68 1.04083408559e-17 0.202797387058 0.489749083852
69 0.202793483072 0.202793483072 0.48961545513
70 0.405608472754 0.202768046431 0.489158556825
71 -0.405548051573 0.405548051573 0.488698502639
72 -0.202768046431 0.405608472754 0.489158556825
73 7.8062556419e-18 0.405606812328 0.489290159296
74 0.202768046431 0.405608472754 0.489158556825
75 0.405548051573 0.405548051573 0.488698502639
76 -0.405924593846 -0.405924593846 0.682604166582
77 -0.202976747481 -0.405986155351 0.682983143182
78 -2.42861286637e-17 -0.405996058565 0.683123855093
79 0.202976747481 -0.405986155351 0.682983143182
80 0.405924593846 -0.405924593846 0.682604166582
81 -0.405986155351 -0.202976747481 0.682983143182
82 -0.203003476237 -0.203003476237 0.683364692676
83 -1.04083408559e-17 -0.203011332036 0.68350572133
84 0.203003476237 -0.203003476237 0.683364692676
85 0.405986155351 -0.202976747481 0.682983143182
86 -0.405996058565 2.25514051877e-17 0.683123855093
87 -0.203011332036 3.38271077815e-17 0.68350572133
88 -8.67361737988e-19 3.64291929955e-17 0.683646109406
89 0.203011332036 2.77555756156e-17 0.68350572133
90 0.405996058565 4.07660016855e-17 0.683123855093
91 -0.405986155351 0.202976747481 0.682983143182
92 -0.203003476237 0.203003476237 0.683364692676
93 4.33680868994e-18 0.203011332036 0.68350572133
94 0.203003476237 0.203003476237 0.683364692676
95 0.405986155351 0.202976747481 0.682983143182
96 -0.405924593846 0.405924593846 0.682604166582
97 -0.202976747481 0.405986155351 0.682983143182
98 -6.07153216592e-18 0.405996058565 0.683123855093
99 0.202976747481 0.405986155351 0.682983143182
100 0.405924593846 0.405924593846 0.682604166582
101 -0.406101683494 -0.406101683494 0.876274099978
102 -0.203072177035 -0.406132250949 0.876571034902
103 -3.20923843056e-17 -0.406138537883 0.876693107286
104 0.203072177035 -0.406132250949 0.876571034902
105 0.406101683494 -0.406101683494 0.876274099978
106 -0.406132250949 -0.203072177035 0.876571034902
107 -0.203086189374 -0.203086189374 0.876872790253
108 -2.16840434497e-17 -0.203090735818 0.876994207391
109 0.203086189374 -0.203086189374 0.876872790253
110 0.406132250949 -0.203072177035 0.876571034902
111 -0.406138537883 1.56125112838e-17 0.876693107286
112 -0.203090735818 1.56125112838e-17 0.876994207391
113 -2.86229373536e-17 3.46944695195e-17 0.877112091234
114 0.203090735818 1.90819582357e-17 0.876994207391
115 0.406138537883 3.46944695195e-18 0.876693107286
116 -0.406132250949 0.203072177035 0.876571034902
117 -0.203086189374 0.203086189374 0.876872790253
118 -4.16333634234e-17 0.203090735818 0.876994207391
119 0.203086189374 0.203086189374 0.876872790253
120 0.406132250949 0.203072177035 0.876571034902
121 -0.406101683494 0.406101683494 0.876274099978
122 -0.203072177035 0.406132250949 0.876571034902
123 -5.11743425413e-17 0.406138537883 0.876693107286
124 0.203072177035 0.406132250949 0.876571034902
